Name,Likes,Url,Tags
Against the Gods," , 4918 ",https://lnmtl.com/novel/against-the-gods,"Action,Adventure,Ecchi,Fantasy,Harem,Martial Arts,Mature,Xuanhuan,Acupuncture,Adopted Protagonist,Aggressive Characters,Arranged Marriage,Arrogant Characters,Beautiful Female Lead,Bloodlines,Body Tempering,Charismatic Protagonist,Childhood Friends,Conspiracies,Cruel Characters,Cultivation,Cunning Protagonist,Death,Demi-Humans,Demons,Depictions of Cruelty,Determined Protagonist,Discrimination,Dragons,Elves,Enemies Become Allies,Famous Protagonist,Fast Cultivation,Female Master,First-time Intercourse,Gods,Handsome Male Lead,Harem-seeking Protagonist,Heavenly Tribulation,Inheritance,Kuudere,Legendary Artifacts,Loli,Long Separations,Lucky Protagonist,Male Protagonist,Manipulative Characters,Marriage,Master-Disciple Relationship,Master-Servant Relationship,Medical Knowledge,Multiple Realms,Mythical Beasts,Older Love Interests,Past Plays a Big Role,Perverted Protagonist,Phoenixes,Pill Concocting,Playful Protagonist,Politics,Polygamy,Possessive Characters,Pregnancy,Previous Life Talent,Rape,Rape Victim Becomes Lover,Revenge,Reverse Rape,Romantic Subplot,Ruthless Protagonist,Second Chance,Sentient Objects,Shameless Protagonist,Sharp-tongued Characters,Spirit Advisor,Strength-based Social Hierarchy,Strong Love Interests,Sword Wielder,Time Skip,Torture,Tsundere,Underestimated Protagonist,Unique Weapon User,Wars,Weak to Strong,World Travel,Younger Love Interests"
Tales of Demons and Gods," , 2442 ",https://lnmtl.com/novel/tales-of-demons-and-gods,"Action,Adventure,Comedy,Fantasy,Harem,Martial Arts,Shounen,Xuanhuan,Adapted to Anime,Adapted to Manhua,Army Building,Beautiful Female Lead,Bloodlines,Calm Protagonist,Clan Building,Cultivation,Cunning Protagonist,Demons,Determined Protagonist,Fast Cultivation,Female Master,Friendship,Gods,Legendary Artifacts,Male Protagonist,Martial Spirits,Monsters,Multiple Realms,Politics,Polygamy,Possession,Previous Life Talent,Revenge,Romantic Subplot,Second Chance,Strength-based Social Hierarchy,Strong Love Interests,Underestimated Protagonist,Unique Cultivation Technique,Wars,Weak to Strong"
Martial God Asura," , 2334 ",https://lnmtl.com/novel/martial-god-asura,"Action,Adventure,Drama,Fantasy,Harem,Martial Arts,Mature,Xuanhuan,Adopted Protagonist,Arrogant Characters,Battle Academy,Beautiful Female Lead,Bloodlines,Body Tempering,Brotherhood,Cultivation,Death of Loved Ones,Determined Protagonist,Discrimination,Fast Cultivation,Genius Protagonist,Hidden Abilities,Hot-blooded Protagonist,Legendary Artifacts,Long Separations,Lucky Protagonist,Male Protagonist,Monsters,Multiple Realms,Mysterious Family Background,Mysterious Past,Politics,Polygamy,Rape,Rape Victim Becomes Lover,Revenge,Romantic Subplot,Secret Identity,Spirits,Sudden Strength Gain,Torture,Underestimated Protagonist,Unique Cultivation Technique,Wars,Weak to Strong"
Emperor's Domination," , 2116 ",https://lnmtl.com/novel/emperor-s-domination,"Action,Adventure,Fantasy,Harem,Martial Arts,Mature,Mystery,Xuanhuan,Alchemy,Arranged Marriage,Arrogant Characters,Average-looking Protagonist,Beast Companions,Beautiful Female Lead,Body Tempering,Charismatic Protagonist,Conspiracies,Cultivation,Cunning Protagonist,Demons,Determined Protagonist,Eidetic Memory,Hard-Working Protagonist,Heavenly Tribulation,Hiding True Identity,Immortals,Legendary Artifacts,Loyal Subordinates,Maids,Male Protagonist,Monsters,Multiple Realms,Overpowered Protagonist,Past Plays a Big Role,Ruthless Protagonist,Scheming,Sect Development,Teachers,Time Skip,Underestimated Protagonist,Wars,World Travel,World Tree"
Library of Heaven's Path," , 1895 ",https://lnmtl.com/novel/library-of-heaven-s-path,"Action,Comedy,Fantasy,Martial Arts,Romance,Xuanhuan,Academy,Alchemy,Artists,Average-looking Protagonist,Cheats,Cultivation,Cunning Protagonist,Dense Protagonist,Doctors,Fast Cultivation,Fast Learner,Jack of All Trades,Lack of Common Sense,Late Romance,Library,Limited Lifespan,Male Protagonist,Master-Disciple Relationship,Misunderstandings,Money Grubber,Overpowered Protagonist,Parody,Pill Concocting,Poisons,Protagonist with Multiple Bodies,Shameless Protagonist,Sudden Strength Gain,Teachers,Transmigration,Transported into Another World,Trickster,Weak to Strong"
Dragon Marked War God," , 958 ",https://lnmtl.com/novel/dragon-marked-war-god,"Action,Adventure,Comedy,Drama,Fantasy,Harem,Martial Arts,Xuanhuan,Alchemy,Arrogant Characters,Beast Companions,Beautiful Female Lead,Bloodlines,Body Tempering,Confident Protagonist,Cultivation,Cunning Protagonist,Demons,Destiny,Dragons,Early Romance,Fast Cultivation,Friendship,Genius Protagonist,Gods,Handsome Male Lead,Heavenly Tribulation,Honest Protagonist,Immortals,Legendary Artifacts,Long Separations,Magic Formations,Male Protagonist,Multiple Realms,Pill Based Cultivation,Pill Concocting,Polygamy,Previous Life Talent,Revenge,Romantic Subplot,Ruthless Protagonist,Soul Power,Strength-based Social Hierarchy,Sword Wielder,Transmigration,Unique Cultivation Technique,Weak to Strong"
Reincarnation Of The Strongest Sword God," , 917 ",https://lnmtl.com/novel/reincarnation-of-the-strongest-sword-god,"Action,Adventure,Fantasy,Martial Arts,Xuanhuan,Blacksmith,Dungeons,Dwarfs,Elves,Fantasy Creatures,Game Ranking System,Gamers,Guilds,Hiding True Identity,Knights,Level System,Lucky Protagonist,Male Protagonist,Mercenaries,MMORPG,Modern Day,Monsters,Overpowered Protagonist,Previous Life Talent,Second Chance,Secret Identity,Skill Books,Sword And Magic,Tragic Past,Virtual Reality"
Release that Witch," , 908 ",https://lnmtl.com/novel/release-that-witch,"Action,Adventure,Drama,Fantasy,Harem,Mystery,Seinen,Supernatural,Alchemy,Army,Army Building,Beautiful Female Lead,Calm Protagonist,Caring Protagonist,Clever Protagonist,Conspiracies,Crafting,Demons,Depictions of Cruelty,Devoted Love Interests,Discrimination,Domestic Affairs,Early Romance,Economics,Engineer,Fantasy World,Firearms,Hard-Working Protagonist,Industrialization,Kingdom Building,Kingdoms,Knights,Leadership,Loyal Subordinates,Magic,Male Protagonist,Management,Manipulative Characters,Marriage,Mature Protagonist,Medieval,Modern Knowledge,Monsters,Multiple POV,Nobles,Politics,Pragmatic Protagonist,Religions,Romantic Subplot,Royalty,Scheming,Shy Characters,Stoic Characters,Strategic Battles,Strong Love Interests,Technological Gap,Transmigration,Wars,Weak Protagonist,Witches"
Cultivation Chat Group," , 825 ",https://lnmtl.com/novel/cultivation-chat-group,"Action,Adventure,Comedy,Fantasy,Martial Arts,Mystery,School Life,Slice of Life,Xianxia,Adapted to Manhua,Appearance Changes,Beautiful Female Lead,Body Tempering,Calm Protagonist,Caring Protagonist,Chat Rooms,Clever Protagonist,Cultivation,Determined Protagonist,Divination,Friendship,Ghosts,Handsome Male Lead,Heavenly Tribulation,Honest Protagonist,Immortals,Late Romance,Male Protagonist,Misunderstandings,Modern Day,Pill Concocting,Romantic Subplot,Weak to Strong"
Long Live Summons," , 807 ",https://lnmtl.com/novel/long-live-summons,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Martial Arts,Mature,Xuanhuan,Adapted to Manhua,Alchemy,Arranged Marriage,Artifacts,Assassins,Battle Academy,Beast Companions,Beasts,Beautiful Female Lead,Broken Engagement,Charismatic Protagonist,Confident Protagonist,Cultivation,Cunning Protagonist,Demon Lord,Demons,Dwarfs,Elves,Evolution,Fast Cultivation,Fellatio,Game Elements,Genius Protagonist,Gods,Handsome Male Lead,Hard-Working Protagonist,Harem-seeking Protagonist,Hiding True Abilities,Human-Nonhuman Relationship,Love Interest Falls in Love First,Male Protagonist,Master-Servant Relationship,Money Grubber,Monster Girls,Monster Tamer,Monsters,Multiple Realms,Mysterious Past,Mythical Beasts,Older Love Interests,Perverted Protagonist,Pets,Philosophical,Polygamy,Romantic Subplot,Secretive Protagonist,Sexual Cultivation Technique,Shameless Protagonist,Slaves,Special Abilities,Strength-based Social Hierarchy,Strong Love Interests,Sudden Strength Gain,Summoning Magic,Transmigration,Transported into Another World,Trickster,Underestimated Protagonist,Wars,Weak to Strong,World Travel"
